"y","a","nora","sa","iv_malla_modi_id","long","lat","pop"
2009,0.0154481913394003,3.05069566250249,0.800558614189052,154346,-3.2534105,37.1609949,1
2010,0.0229102105701696,4.46621778988592,1.21696708913052,154346,-3.2534105,37.1609949,1
2011,0.0198108630426971,3.88271673900718,1.0402112921613,154346,-3.2534105,37.1609949,1
2012,-0.0223400298144463,-4.7226510245252,-1.18397862405453,154346,-3.2534105,37.1609949,1
2013,0.00854330351888744,1.70767015326211,0.43667960052176,154346,-3.2534105,37.1609949,1
2014,0.0122034798009378,2.42363551899205,0.627683646257287,154346,-3.2534105,37.1609949,1
2015,-0.0190869048144466,-4.01060860232667,-0.999766158180704,154346,-3.2534105,37.1609949,1
2016,-0.0191326079394462,-4.02055258782525,-1.0023107835923,154346,-3.2534105,37.1609949,1
2000,-0.0340725245904279,-7.78305280708727,-1.60831328939995,163120,-3.3907464,37.1339116,2
2001,0.00737365596512712,1.55448050013303,0.323902765331295,163120,-3.3907464,37.1339116,2
2002,0.00972414207623801,2.04107521670972,0.42819562221832,163120,-3.3907464,37.1339116,2
2003,0.028793993266715,5.83761978495815,1.3286818068717,163120,-3.3907464,37.1339116,2
2004,0.0109712254095713,2.29752868143438,0.483870317178852,163120,-3.3907464,37.1339116,2
2005,-0.0578343301459837,-13.8753959029813,-3.27533900236068,163120,-3.3907464,37.1339116,2
2006,-0.00662330584042833,-1.43362123988307,-0.29075731634407,163120,-3.3907464,37.1339116,2
2007,-0.0144350245904284,-3.17179665194684,-0.64008291664024,163120,-3.3907464,37.1339116,2
2008,-0.0110791652154283,-2.41867965009368,-0.488701834747175,163120,-3.3907464,37.1339116,2
2009,-0.00807252459042798,-1.75215573225912,-0.354833935950845,163120,-3.3907464,37.1339116,2
2010,-0.000576542447571632,-0.123368476465742,-0.0252433510584712,163120,-3.3907464,37.1339116,2
2011,0.0227433087429054,4.661373531318,1.02827492365993,163120,-3.3907464,37.1339116,2
2012,-0.0240725245904282,-5.39015231033077,-1.09274123113726,163120,-3.3907464,37.1339116,2
2013,0.0302587254095717,6.11854398495486,1.40440942440998,163120,-3.3907464,37.1339116,2
2014,0.0108433087429054,2.27127797582547,0.478147320947825,163120,-3.3907464,37.1339116,2
2015,0.020142606988519,4.14785273377929,0.904246704705466,163120,-3.3907464,37.1339116,2
2016,0.0159149754095717,3.30264992631768,0.707670898621097,163120,-3.3907464,37.1339116,2
2000,0.00206363551341604,0.404796977673961,0.101831189997916,163121,-3.3881332,37.1339116,2
2001,0.00884419106897133,1.71472814559322,0.438908183270136,163121,-3.3881332,37.1339116,2
2002,0.0179769688467496,3.43179093043091,0.909517661345995,163121,-3.3881332,37.1339116,2
2003,0.0179471176562726,3.4262646365713,0.907929200977825,163121,-3.3881332,37.1339116,2
2004,-0.00380511448658433,-0.754060088650545,-0.187912163313441,163121,-3.3881332,37.1339116,2
2005,-0.0518481700421396,-11.2170617609593,-3.33103773194443,163121,-3.3881332,37.1339116,2
2006,-0.00534534886158411,-1.06214912965109,-0.2642603705853,163121,-3.3881332,37.1339116,2
2007,-0.00791761448658421,-1.58039938736435,-0.39245456256294,163121,-3.3881332,37.1339116,2
2008,-0.0105715207365842,-2.1200430158358,-0.525994641612641,163121,-3.3881332,37.1339116,2
2009,-0.0370863644865846,-7.80353097527892,-2.05829489396135,163121,-3.3881332,37.1339116,2
2010,0.0190551533705592,3.63102131273012,0.96717286504876,163121,-3.3881332,37.1339116,2
2011,0.0116586355134158,2.24956678469858,0.581176796820977,163121,-3.3881332,37.1339116,2
2012,-0.00682386448658409,-1.35946208729752,-0.3378207762768,163121,-3.3881332,37.1339116,2
2013,0.0202874636384159,3.85784877311927,1.03377941992906,163121,-3.3881332,37.1339116,2
2014,0.0250319688467496,4.72246621313279,1.29848970108082,163121,-3.3881332,37.1339116,2
2015,-0.0132620223813207,-2.67232640937689,-0.663173846725519,163121,-3.3881332,37.1339116,2
